"term","estimate","std.error","statistic","p.value","log_transform","significance","tech","estimate_label"
"American Indian and/or Alaskan Native",-18716.9064,"9266.7437","-2.0198",0.0438602208962465,-100,"**","Tech","-$18,717"
"Black",-20214.9741,"8840.5182","-2.2866",0.0225739730743644,-100,"**","Tech","-$20,215"
"Chinese",13811.2411,"8887.1463","1.5541",0.120708691268368,Inf,"","Tech","$13,811"
"Filipino",14324.9386,"9149.0417","1.5657",0.117952341927371,Inf,"","Tech","$14,325"
"Japanese",15781.0245,"9398.2802","1.6791",0.0936588210041883,Inf,"*","Tech","$15,781"
"Korean",12224.1069,"9206.5976","1.3278",0.184776876038914,Inf,"","Tech","$12,224"
"Latin American",-31803.729,"8076.2537","-3.9379",9.209217137686e-05,-100,"***","Tech","-$31,804"
"Native Hawaiian or Pacific Islander",-5487.7968,"11082.8035","-0.4952",0.620670830475877,-100,"","Tech","-$5,488"
"South Asian",18531.6809,"8887.1463","2.0852",0.0374819900085758,Inf,"**","Tech","$18,532"
"Southeast Asian",-2691.3431,"9036.7905","-0.2978",0.765945769191213,-100,"","Tech","-$2,691"
